:@computed_region_csmy_5jwy,:@computed_region_f3tr_pr43,:@computed_region_nwen_78xc,address,city,county_name,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,emergency_services,hospital_name,hospital_overall_rating,hospital_overall_rating_footnote,hospital_ownership,hospital_type,location,location_address,location_city,location_state,location_zip,meets_criteria_for_meaningful_use_of_ehrs,mortality_national_comparison,mortality_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,phone_number,phone_number_type,provider_id,readmission_national_comparison,readmission_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,state,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,zip_code
36,248,248,110 METKER TRAIL,STANFORD,LINCOLN,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,3,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-84.653879 37.543616),110 METKER TRAIL,STANFORD,KY,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6063654788,,181315,Same as the national average,,Not Available,Results are not available for this reporting period,KY,Above the national average,,40484
23,819,819,708 S 1ST ST,MULESHOE,BAILEY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MULESHOE AREA MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Critical Access Hospitals,POINT (-102.728458 34.221029),708 S 1ST ST,MULESHOE,TX,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,8062724524,,451372,Same as the national average,,Not Available,Results are not available for this reporting period,TX,Not Available,Results are not available for this reporting period,79347
26,486,486,273 COUNTY ROAD,NEW LONDON,MERRIMACK,Same as the national average,,Same as the national average,,TRUE,NEW LONDON HOSPITAL,3,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-71.993316 43.433714),273 COUNTY ROAD,NEW LONDON,NH,,TRUE,Same as the national average,,Same as the national average,,6035262911,,301304,Same as the national average,,Not Available,Results are not available for this reporting period,NH,Same as the national average,,3257
,2090,2090,2601 OCEAN PARKWAY,BROOKLYN,KINGS,Same as the national average,,Same as the national average,,TRUE,CONEY ISLAND HOSPITAL,1,,Government - Local,Acute Care Hospitals,POINT (-73.966285 40.58494),2601 OCEAN PARKWAY,BROOKLYN,NY,,TRUE,Above the national average,,Below the national average,,7186163000,,330196,Below the national average,,Below the national average,,NY,Below the national average,,11235
45,1763,1763,5401 OLD COURT ROAD,RANDALLSTOWN,BALTIMORE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,NORTHWEST HOSPITAL CENTER,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.782944 39.359208),5401 OLD COURT ROAD,RANDALLSTOWN,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4105215995,,210040,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21133
4,1657,1657,888 SO KING STREET,HONOLULU,HONOLULU,Same as the national average,,Same as the national average,,TRUE,STRAUB CLINIC AND HOSPITAL,5,,Proprietary,Acute Care Hospitals,POINT (-157.867724 21.322631),888 SO KING STREET,HONOLULU,HI,,TRUE,Same as the national average,,Above the national average,,8085224000,,120022,Above the national average,,Above the national average,,HI,Above the national average,,96813
17,232,232,3901 RAINBOW BLVD,KANSAS CITY,WYANDOTTE,Same as the national average,,Same as the national average,,TRUE,UNIVERSITY OF KANSAS HOSPITAL,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-94.611447 39.056421),3901 RAINBOW BLVD,KANSAS CITY,KS,,TRUE,Above the national average,,Above the national average,,9135887332,,170040,Below the national average,,Above the national average,,KS,Below the national average,,66103
17,306,306,240 WEST 18TH STREET,HORTON,BROWN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,HORTON COMMUNITY HOSPITAL,Not Available,Results are not available for this reporting period,Proprietary,Critical Access Hospitals,POINT (-95.530293 39.672712),240 WEST 18TH STREET,HORTON,KS,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,7854862642,,171320,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,KS,Not Available,Results are not available for this reporting period,66439
22,1582,1582,8080 BLUEBONNET BLVD,BATON ROUGE,EAST BATON ROUGE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,SURGICAL SPECIALTY CENTER OF BATON ROUGE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Physician,Acute Care Hospitals,POINT (-91.099333 30.376565),8080 BLUEBONNET BLVD,BATON ROUGE,LA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2254088080,,190251,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,LA,Not Available,Results are not available for this reporting period,70810
,,,US HIGHWAY 60,SEILING,DEWEY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,SEILING MUNICIPAL HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Local,Critical Access Hospitals,,US HIGHWAY 60,SEILING,OK,,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5809227361,,371332,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,OK,Not Available,Results are not available for this reporting period,73663
1,1354,1354,425 7TH STREET NW,CASS LAKE,CASS,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CASS LAKE INDIAN HEALTH SERVICES HOSPITAL,Not Available,Results are not available for this reporting period,Government - Federal,Critical Access Hospitals,POINT (-94.609515 47.384094),425 7TH STREET NW,CASS LAKE,MN,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2183353200,,241358,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MN,Not Available,Results are not available for this reporting period,56633
8,1340,1340,350 S OAK AVE,OAKDALE,STANISLAUS,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,OAK VALLEY HOSPITAL DISTRICT,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-120.860363 37.758098),350 S OAK AVE,OAKDALE,CA,,TRUE,Same as the national average,,Same as the national average,,2098473011,,50067,Same as the national average,,Not Available,Results are not available for this reporting period,CA,Same as the national average,,95361
8,1178,1178,911 SUNSET DRIVE,HOLLISTER,SAN BENITO,Same as the national average,,Below the national average,,FALSE,HAZEL HAWKINS MEMORIAL HOSPITAL,2,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-121.386593 36.83512),911 SUNSET DRIVE,HOLLISTER,CA,,TRUE,Same as the national average,,Below the national average,,8316375711,,50296,Same as the national average,,Below the national average,,CA,Same as the national average,,95023
1,1406,1406,2525 CHICAGO AVENUE SOUTH,MINNEAPOLIS,HENNEPIN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CHILDREN'S HOSPITALS & CLINICS OF MN,Not Available,Results are not available for this reporting period,Voluntary non-profit - Private,Childrens,POINT (-93.262588 44.956237),2525 CHICAGO AVENUE SOUTH,MINNEAPOLIS,MN,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6128136112,,243302,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MN,Not Available,Results are not available for this reporting period,55404
29,1493,1493,400 NORTHWOOD DR,CENTRE,CHEROKEE,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,CHEROKEE MEDICAL CENTER,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-85.65142 34.162761),400 NORTHWOOD DR,CENTRE,AL,,TRUE,Same as the national average,,Above the national average,,2569275531,,10022,Same as the national average,,Not Available,Results are not available for this reporting period,AL,Same as the national average,,35960
32,492,492,1102 CONSTITUTION AVENUE,MERIDIAN,LAUDERDALE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,ANDERSON RMC SOUTH,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,POINT (-88.699315 32.36779),1102 CONSTITUTION AVENUE,MERIDIAN,MS,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6014843590,,250081,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MS,Not Available,Results are not available for this reporting period,39301
48,733,733,700 QUINCY AVENUE,SCRANTON,LACKAWANNA,Same as the national average,,Below the national average,,TRUE,MOSES TAYLOR HOSPITAL,1,,Proprietary,Acute Care Hospitals,POINT (-75.650814 41.410675),700 QUINCY AVENUE,SCRANTON,PA,,TRUE,Below the national average,,Below the national average,,5703402100,,390119,Same as the national average,,Below the national average,,PA,Same as the national average,,18510
37,641,641,3643 N ROXBORO ROAD,DURHAM,DURHAM,Same as the national average,,Above the national average,,TRUE,DUKE REGIONAL HOSPITAL,3,,Government - Local,Acute Care Hospitals,POINT (-78.897037 36.037439),3643 N ROXBORO ROAD,DURHAM,NC,,TRUE,Same as the national average,,Same as the national average,,9196201078,,340155,Below the national average,,Above the national average,,NC,Below the national average,,27704
,,,2500 HWY 305 SOUTH,MCCAMEY,UPTON,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MCCAMEY HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,,2500 HWY 305 SOUTH,MCCAMEY,TX,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4326528626,,451309,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TX,Not Available,Results are not available for this reporting period,79752
20,712,712,3300 NORTHWEST EXPRESSWAY,OKLAHOMA CITY,OKLAHOMA,Same as the national average,,Same as the national average,,TRUE,"INTEGRIS BAPTIST MEDICAL CENTER, INC",4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-97.57455 35.52996),3300 NORTHWEST EXPRESSWAY,OKLAHOMA CITY,OK,,TRUE,Below the national average,,Above the national average,,4059518110,,370028,Above the national average,,Above the national average,,OK,Same as the national average,,73112
34,1863,1863,1044 N FRANCISCO AVE,CHICAGO,COOK,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,NORWEGIAN-AMERICAN HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-87.699288 41.900481),1044 N FRANCISCO AVE,CHICAGO,IL,,TRUE,Same as the national average,,Below the national average,,7732928200,,140206,Same as the national average,,Same as the national average,,IL,Below the national average,,60622
34,1863,1863,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,COOK,Same as the national average,,Above the national average,,TRUE,NORTHWEST COMMUNITY HOSPITAL 1,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-87.992951 42.066604),800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,,TRUE,Below the national average,,Below the national average,,8476181000,,140252,Above the national average,,Same as the national average,,IL,Above the national average,,60005
